record_id,employee_id,client_id,date,hours,hourly_rate,task_type
BH0001,EM035,CL035,2024-07-20,2.7,5000,Reporting
BH0002,EM030,CL016,2024-08-24,1.7,12000,Fieldwork
BH0003,EM015,CL005,2024-02-26,9.2,5000,Reporting
BH0004,EM025,CL044,2024-07-13,6.7,5000,Review
BH0005,EM008,CL039,2024-05-07,7.0,20000,Fieldwork
BH0006,EM025,CL006,2024-01-13,3.4,5000,Planning
BH0007,EM008,CL054,2024-02-22,8.3,8000,Review
BH0008,EM025,CL043,2024-12-12,6.4,12000,Client Meeting
BH0009,EM027,CL036,2024-10-09,7.0,8000,Review
BH0010,EM005,CL003,2024-04-22,3.4,12000,Fieldwork
BH0011,EM013,CL049,2024-02-05,5.6,5000,Planning
BH0012,EM007,CL020,2024-01-05,9.5,12000,Fieldwork
BH0013,EM015,CL011,2024-06-10,6.7,20000,Planning
BH0014,EM001,CL020,2024-06-08,5.1,12000,Client Meeting
BH0015,EM001,CL037,2024-05-20,8.1,20000,Client Meeting
BH0016,EM007,CL019,2024-12-04,8.4,20000,Planning
BH0017,EM014,CL005,2024-01-12,2.8,12000,Review
BH0018,EM025,CL018,2024-06-10,5.3,8000,Client Meeting
BH0019,EM021,CL043,2024-08-29,6.4,5000,Client Meeting
BH0020,EM018,CL002,2024-04-23,2.9,20000,Review
BH0021,EM017,CL040,2024-11-17,6.2,20000,Fieldwork
BH0022,EM015,CL016,2024-11-07,2.0,8000,Client Meeting
BH0023,EM019,CL006,2024-04-05,8.3,20000,Review
BH0024,EM005,CL001,2024-07-16,1.2,8000,Client Meeting
BH0025,EM029,CL023,2024-04-29,9.5,5000,Review
BH0026,EM032,CL060,2024-07-22,3.2,5000,Fieldwork
BH0027,EM002,CL035,2024-11-04,4.7,12000,Review
BH0028,EM027,CL051,2024-02-18,2.5,8000,Client Meeting
BH0029,EM003,CL025,2024-05-27,1.2,12000,Client Meeting
BH0030,EM019,CL034,2024-07-23,5.2,12000,Planning
BH0031,EM025,CL050,2024-11-21,6.7,12000,Planning
BH0032,EM017,CL034,2024-02-05,5.2,8000,Client Meeting
BH0033,EM007,CL002,2024-01-28,9.3,20000,Client Meeting
BH0034,EM001,CL049,2024-02-06,5.0,8000,Client Meeting
BH0035,EM021,CL037,2024-06-07,6.4,8000,Fieldwork
BH0036,EM029,CL034,2024-02-22,2.0,5000,Client Meeting
BH0037,EM007,CL037,2024-12-26,7.8,5000,Fieldwork
BH0038,EM018,CL040,2024-01-13,2.5,5000,Review
BH0039,EM019,CL019,2024-02-14,9.5,12000,Review
BH0040,EM028,CL029,2024-05-23,3.0,8000,Planning
BH0041,EM020,CL043,2024-10-16,7.6,12000,Review
BH0042,EM011,CL015,2024-10-17,9.9,20000,Fieldwork
BH0043,EM014,CL047,2024-04-29,4.2,5000,Fieldwork
BH0044,EM020,CL040,2024-12-21,8.2,8000,Client Meeting
BH0045,EM026,CL023,2024-04-19,7.5,5000,Planning
BH0046,EM031,CL042,2024-08-21,3.1,20000,Reporting
BH0047,EM020,CL049,2024-08-06,7.3,8000,Review
BH0048,EM033,CL032,2024-03-18,9.4,8000,Planning
BH0049,EM023,CL055,2024-09-26,4.4,12000,Reporting
BH0050,EM010,CL056,2024-09-02,6.9,20000,Planning
BH0051,EM030,CL043,2024-02-17,3.3,5000,Reporting
BH0052,EM018,CL037,2024-04-12,8.1,20000,Planning
BH0053,EM025,CL029,2024-01-18,4.9,12000,Review
BH0054,EM007,CL031,2024-04-27,8.4,20000,Planning
BH0055,EM009,CL008,2024-03-03,4.5,12000,Fieldwork
BH0056,EM026,CL045,2024-10-27,6.0,8000,Review
BH0057,EM017,CL026,2024-06-03,4.6,20000,Fieldwork
BH0058,EM007,CL019,2024-12-05,9.8,12000,Review
BH0059,EM032,CL001,2024-04-28,6.4,8000,Review
BH0060,EM009,CL031,2024-12-22,8.6,5000,Planning
BH0061,EM026,CL026,2024-10-25,9.7,12000,Review
BH0062,EM009,CL039,2024-11-28,1.5,5000,Planning
BH0063,EM012,CL025,2024-01-28,1.1,5000,Fieldwork
BH0064,EM004,CL006,2024-06-16,4.8,20000,Fieldwork
BH0065,EM030,CL013,2024-10-14,3.3,12000,Planning
BH0066,EM033,CL006,2024-03-12,9.5,8000,Fieldwork
BH0067,EM004,CL044,2024-10-11,5.6,8000,Planning
BH0068,EM020,CL043,2024-07-11,8.5,5000,Planning
BH0069,EM026,CL031,2024-03-06,2.8,8000,Fieldwork
BH0070,EM004,CL017,2024-12-06,3.4,5000,Client Meeting
BH0071,EM030,CL041,2024-05-05,6.7,20000,Review
BH0072,EM021,CL047,2024-08-02,1.6,8000,Reporting
BH0073,EM005,CL050,2024-09-28,5.9,8000,Fieldwork
BH0074,EM027,CL014,2024-02-11,5.7,20000,Review
BH0075,EM008,CL031,2024-07-15,1.6,8000,Fieldwork
BH0076,EM010,CL013,2024-07-30,3.4,5000,Client Meeting
BH0077,EM016,CL028,2024-09-16,2.7,5000,Client Meeting
BH0078,EM030,CL028,2024-05-20,1.1,8000,Reporting
BH0079,EM015,CL051,2024-10-22,7.0,8000,Reporting
BH0080,EM022,CL009,2024-09-30,2.3,20000,Client Meeting
BH0081,EM007,CL012,2024-07-13,9.0,8000,Client Meeting
BH0082,EM017,CL039,2024-11-15,6.1,8000,Reporting
BH0083,EM021,CL012,2024-11-10,4.7,12000,Review
BH0084,EM020,CL044,2024-09-23,3.5,8000,Client Meeting
BH0085,EM035,CL028,2024-09-16,2.0,5000,Fieldwork
BH0086,EM020,CL051,2024-04-23,3.0,20000,Review
BH0087,EM002,CL039,2024-12-28,5.7,12000,Planning
BH0088,EM032,CL031,2024-02-13,8.6,12000,Review
BH0089,EM004,CL050,2024-11-23,9.2,8000,Client Meeting
BH0090,EM034,CL031,2024-11-08,1.5,12000,Planning
BH0091,EM007,CL045,2024-03-18,1.1,12000,Client Meeting
BH0092,EM016,CL030,2024-03-27,2.0,8000,Client Meeting
BH0093,EM026,CL047,2024-01-12,2.9,8000,Review
BH0094,EM033,CL020,2024-02-07,5.8,5000,Reporting
BH0095,EM021,CL023,2024-12-02,6.6,20000,Client Meeting
BH0096,EM015,CL047,2024-08-21,9.7,8000,Planning
BH0097,EM023,CL032,2024-10-23,3.8,12000,Fieldwork
BH0098,EM010,CL017,2024-08-19,3.4,5000,Fieldwork
BH0099,EM005,CL031,2024-12-11,2.9,20000,Client Meeting
BH0100,EM001,CL014,2024-12-29,5.7,8000,Review
BH0101,EM026,CL042,2024-08-25,8.8,5000,Fieldwork
BH0102,EM011,CL024,2024-10-11,3.6,8000,Reporting
BH0103,EM014,CL002,2024-01-08,5.9,12000,Client Meeting
BH0104,EM016,CL003,2024-09-17,7.3,8000,Review
BH0105,EM009,CL033,2024-08-26,3.0,8000,Fieldwork
BH0106,EM003,CL057,2024-08-29,7.1,8000,Fieldwork
BH0107,EM011,CL041,2024-08-13,3.1,20000,Review
BH0108,EM019,CL035,2024-06-27,2.3,5000,Client Meeting
BH0109,EM009,CL001,2024-02-02,6.6,5000,Planning
BH0110,EM019,CL009,2024-10-05,5.2,5000,Client Meeting
BH0111,EM011,CL032,2024-11-09,7.3,8000,Client Meeting
BH0112,EM021,CL005,2024-03-21,6.6,12000,Review
BH0113,EM022,CL006,2024-12-16,7.4,5000,Review
BH0114,EM006,CL003,2024-09-19,2.0,12000,Planning
BH0115,EM017,CL046,2024-03-06,2.2,8000,Reporting
BH0116,EM004,CL001,2024-04-17,4.8,20000,Reporting
BH0117,EM009,CL016,2024-06-13,1.3,8000,Fieldwork
BH0118,EM013,CL043,2024-05-19,7.1,12000,Reporting
BH0119,EM030,CL022,2024-04-14,6.2,20000,Planning
BH0120,EM010,CL055,2024-10-13,1.3,5000,Client Meeting
BH0121,EM026,CL015,2024-03-04,4.8,20000,Planning
BH0122,EM025,CL054,2024-10-12,5.2,12000,Fieldwork
BH0123,EM016,CL014,2024-01-01,3.3,12000,Review
BH0124,EM005,CL002,2024-07-18,1.9,20000,Review
BH0125,EM030,CL001,2024-01-16,7.2,12000,Review
BH0126,EM022,CL036,2024-01-15,1.9,5000,Client Meeting
BH0127,EM027,CL020,2024-03-14,6.2,20000,Reporting
BH0128,EM034,CL001,2024-10-27,2.2,5000,Fieldwork
BH0129,EM023,CL001,2024-06-11,8.4,20000,Planning
BH0130,EM027,CL007,2024-04-09,2.1,8000,Review
BH0131,EM024,CL011,2024-12-23,3.2,8000,Reporting
BH0132,EM004,CL021,2024-09-14,8.5,8000,Client Meeting
BH0133,EM029,CL041,2024-06-04,3.1,12000,Fieldwork
BH0134,EM020,CL032,2024-07-26,2.6,12000,Reporting
BH0135,EM024,CL003,2024-02-24,1.8,12000,Reporting
BH0136,EM021,CL021,2024-09-16,7.2,8000,Client Meeting
BH0137,EM029,CL046,2024-10-05,6.0,8000,Client Meeting
BH0138,EM003,CL015,2024-02-12,9.8,12000,Planning
BH0139,EM002,CL016,2024-01-11,3.3,12000,Planning
BH0140,EM033,CL001,2024-12-27,7.8,20000,Fieldwork
BH0141,EM035,CL028,2024-02-04,8.2,12000,Reporting
BH0142,EM012,CL039,2024-04-22,4.3,12000,Review
BH0143,EM024,CL039,2024-04-02,1.4,12000,Planning
BH0144,EM027,CL029,2024-06-13,5.0,5000,Fieldwork
BH0145,EM013,CL051,2024-08-17,9.9,8000,Fieldwork
BH0146,EM020,CL049,2024-06-18,5.2,8000,Client Meeting
BH0147,EM017,CL021,2024-12-15,1.9,20000,Fieldwork
BH0148,EM023,CL034,2024-10-19,5.2,5000,Fieldwork
BH0149,EM023,CL043,2024-03-26,2.6,8000,Reporting
BH0150,EM025,CL046,2024-09-24,6.4,20000,Fieldwork
BH0151,EM001,CL059,2024-09-20,2.8,20000,Client Meeting
BH0152,EM005,CL009,2024-12-09,5.6,8000,Fieldwork
BH0153,EM032,CL018,2024-07-18,9.1,5000,Reporting
BH0154,EM031,CL037,2024-10-31,2.1,5000,Review
BH0155,EM026,CL060,2024-01-25,9.2,8000,Reporting
BH0156,EM034,CL044,2024-09-05,7.7,12000,Reporting
BH0157,EM033,CL024,2024-11-25,9.7,20000,Planning
BH0158,EM007,CL035,2024-05-12,8.0,20000,Client Meeting
BH0159,EM016,CL004,2024-12-30,9.2,5000,Fieldwork
BH0160,EM031,CL016,2024-09-11,6.3,12000,Review
BH0161,EM021,CL030,2024-12-16,9.1,12000,Review
BH0162,EM018,CL008,2024-01-23,5.1,8000,Client Meeting
BH0163,EM009,CL025,2024-11-23,7.9,12000,Review
BH0164,EM015,CL020,2024-08-19,8.5,5000,Client Meeting
BH0165,EM002,CL060,2024-05-12,3.2,8000,Planning
BH0166,EM034,CL022,2024-11-16,6.7,5000,Client Meeting
BH0167,EM028,CL024,2024-09-16,8.7,20000,Planning
BH0168,EM015,CL060,2024-12-10,5.5,20000,Planning
BH0169,EM005,CL025,2024-09-01,5.7,8000,Review
BH0170,EM003,CL032,2024-12-21,2.9,20000,Fieldwork
BH0171,EM030,CL030,2024-07-17,1.8,8000,Review
BH0172,EM002,CL042,2024-11-16,1.0,8000,Client Meeting
BH0173,EM011,CL010,2024-04-07,2.8,12000,Review
BH0174,EM001,CL016,2024-04-06,4.7,12000,Reporting
BH0175,EM022,CL044,2024-01-23,7.6,8000,Fieldwork
BH0176,EM009,CL060,2024-12-15,8.2,12000,Reporting
BH0177,EM011,CL030,2024-05-01,3.8,12000,Fieldwork
BH0178,EM019,CL040,2024-08-18,2.4,5000,Reporting
BH0179,EM009,CL009,2024-05-05,3.4,20000,Fieldwork
BH0180,EM019,CL028,2024-11-09,4.0,5000,Planning
BH0181,EM016,CL046,2024-07-01,3.8,12000,Client Meeting
BH0182,EM003,CL059,2024-03-17,1.3,20000,Fieldwork
BH0183,EM031,CL017,2024-02-07,2.8,12000,Review
BH0184,EM024,CL037,2024-05-20,8.2,20000,Fieldwork
BH0185,EM011,CL007,2024-10-09,6.1,5000,Reporting
BH0186,EM031,CL044,2024-01-08,8.6,12000,Fieldwork
BH0187,EM029,CL048,2024-07-26,1.9,8000,Reporting
BH0188,EM010,CL059,2024-10-04,6.8,5000,Review
BH0189,EM025,CL019,2024-05-25,4.8,12000,Reporting
BH0190,EM001,CL060,2024-05-11,4.3,12000,Review
BH0191,EM022,CL004,2024-03-05,9.7,8000,Review
BH0192,EM028,CL001,2024-09-12,5.5,12000,Reporting
BH0193,EM015,CL042,2024-03-11,5.4,8000,Planning
BH0194,EM004,CL017,2024-12-13,8.4,5000,Fieldwork
BH0195,EM034,CL012,2024-12-21,7.7,8000,Client Meeting
BH0196,EM025,CL047,2024-12-04,9.8,8000,Client Meeting
BH0197,EM002,CL012,2024-12-17,2.7,5000,Planning
BH0198,EM029,CL024,2024-06-21,7.1,20000,Fieldwork
BH0199,EM030,CL050,2024-11-06,1.3,20000,Fieldwork
BH0200,EM005,CL022,2024-12-13,2.0,5000,Fieldwork
BH0201,EM014,CL038,2024-04-16,3.3,5000,Client Meeting
BH0202,EM028,CL039,2024-08-31,9.0,5000,Client Meeting
BH0203,EM012,CL047,2024-02-07,6.0,8000,Reporting
BH0204,EM015,CL038,2024-11-21,8.7,5000,Planning
BH0205,EM011,CL037,2024-07-12,8.0,8000,Fieldwork
BH0206,EM001,CL055,2024-06-21,3.0,20000,Fieldwork
BH0207,EM011,CL012,2024-08-01,1.4,5000,Planning
BH0208,EM009,CL057,2024-03-15,5.6,20000,Client Meeting
BH0209,EM018,CL012,2024-08-20,8.0,12000,Review
BH0210,EM021,CL032,2024-10-04,5.8,20000,Reporting
BH0211,EM010,CL004,2024-07-23,2.7,8000,Planning
BH0212,EM002,CL006,2024-03-26,4.8,5000,Review
BH0213,EM017,CL027,2024-12-26,4.8,12000,Reporting
BH0214,EM018,CL032,2024-07-28,1.1,20000,Fieldwork
BH0215,EM028,CL057,2024-05-15,5.0,12000,Review
BH0216,EM012,CL024,2024-08-24,3.0,20000,Review
BH0217,EM031,CL032,2024-10-07,9.2,12000,Fieldwork
BH0218,EM029,CL001,2024-12-22,7.3,12000,Client Meeting
BH0219,EM021,CL031,2024-08-27,5.1,5000,Client Meeting
BH0220,EM006,CL010,2024-11-10,5.6,20000,Reporting
BH0221,EM035,CL020,2024-03-20,4.6,5000,Planning
BH0222,EM009,CL033,2024-03-16,9.0,5000,Client Meeting
BH0223,EM017,CL008,2024-08-12,1.2,12000,Reporting
BH0224,EM032,CL005,2024-11-26,5.6,20000,Fieldwork
BH0225,EM022,CL025,2024-07-22,5.9,5000,Reporting
BH0226,EM005,CL045,2024-11-24,4.6,12000,Client Meeting
BH0227,EM024,CL041,2024-02-02,2.3,8000,Fieldwork
BH0228,EM012,CL049,2024-05-14,2.2,12000,Reporting
BH0229,EM024,CL044,2024-12-17,3.4,20000,Fieldwork
BH0230,EM006,CL037,2024-11-05,1.8,12000,Planning
BH0231,EM002,CL034,2024-08-13,1.0,5000,Client Meeting
BH0232,EM001,CL045,2024-09-20,8.0,20000,Client Meeting
BH0233,EM007,CL024,2024-03-28,1.4,20000,Fieldwork
BH0234,EM004,CL031,2024-05-26,1.5,8000,Reporting
BH0235,EM028,CL036,2024-10-23,4.4,20000,Planning
BH0236,EM025,CL029,2024-12-24,2.4,12000,Client Meeting
BH0237,EM006,CL043,2024-01-28,3.9,5000,Fieldwork
BH0238,EM003,CL060,2024-10-19,9.3,5000,Client Meeting
BH0239,EM004,CL053,2024-02-24,5.5,12000,Fieldwork
BH0240,EM012,CL001,2024-07-09,1.4,12000,Review
BH0241,EM031,CL011,2024-12-17,7.9,8000,Planning
BH0242,EM012,CL003,2024-02-11,1.1,8000,Planning
BH0243,EM031,CL024,2024-11-15,8.1,20000,Review
BH0244,EM030,CL044,2024-12-20,6.9,12000,Reporting
BH0245,EM028,CL021,2024-10-31,8.8,20000,Review
BH0246,EM017,CL054,2024-03-26,4.1,20000,Planning
BH0247,EM017,CL043,2024-11-28,2.5,12000,Fieldwork
BH0248,EM026,CL019,2024-02-27,4.1,8000,Client Meeting
BH0249,EM019,CL003,2024-12-14,8.7,5000,Reporting
BH0250,EM016,CL030,2024-11-09,7.9,20000,Client Meeting
BH0251,EM026,CL048,2024-10-20,7.9,20000,Client Meeting
BH0252,EM035,CL008,2024-12-12,9.1,5000,Planning
BH0253,EM021,CL022,2024-09-11,7.9,20000,Review
BH0254,EM003,CL052,2024-07-04,5.7,20000,Planning
BH0255,EM033,CL006,2024-05-20,3.5,5000,Planning
BH0256,EM004,CL014,2024-06-21,5.5,8000,Review
BH0257,EM003,CL044,2024-07-01,5.0,12000,Review
BH0258,EM002,CL037,2024-11-12,6.2,20000,Reporting
BH0259,EM012,CL017,2024-07-10,7.9,12000,Reporting
BH0260,EM029,CL048,2024-10-29,2.0,5000,Fieldwork
BH0261,EM004,CL059,2024-12-24,5.7,5000,Planning
BH0262,EM017,CL027,2024-12-12,4.8,12000,Planning
BH0263,EM015,CL053,2024-03-25,1.7,12000,Planning
BH0264,EM027,CL008,2024-09-13,7.0,5000,Client Meeting
BH0265,EM013,CL042,2024-05-20,7.2,5000,Fieldwork
BH0266,EM010,CL010,2024-12-02,8.7,12000,Reporting
BH0267,EM023,CL040,2024-09-10,7.0,8000,Fieldwork
BH0268,EM022,CL055,2024-06-18,3.7,8000,Planning
BH0269,EM034,CL056,2024-09-04,9.3,5000,Planning
BH0270,EM010,CL005,2024-05-24,5.2,12000,Planning
BH0271,EM035,CL018,2024-08-16,3.7,5000,Review
BH0272,EM012,CL038,2024-05-06,9.4,5000,Client Meeting
BH0273,EM017,CL044,2024-08-30,9.9,8000,Fieldwork
BH0274,EM017,CL028,2024-02-10,5.1,20000,Review
BH0275,EM035,CL004,2024-05-18,4.1,8000,Planning
BH0276,EM012,CL028,2024-08-16,8.8,20000,Planning
BH0277,EM033,CL034,2024-11-28,6.6,20000,Client Meeting
BH0278,EM022,CL019,2024-05-22,4.0,12000,Client Meeting
BH0279,EM019,CL005,2024-04-30,3.5,5000,Planning
BH0280,EM009,CL047,2024-10-24,9.9,8000,Client Meeting
BH0281,EM001,CL045,2024-06-17,9.7,20000,Reporting
BH0282,EM030,CL022,2024-12-05,9.9,8000,Review
BH0283,EM025,CL058,2024-05-07,5.6,5000,Fieldwork
BH0284,EM010,CL054,2024-05-22,8.6,12000,Review
BH0285,EM031,CL039,2024-05-04,4.8,12000,Client Meeting
BH0286,EM008,CL059,2024-02-05,9.8,20000,Planning
BH0287,EM026,CL009,2024-12-27,2.2,8000,Fieldwork
BH0288,EM030,CL002,2024-12-02,4.8,12000,Planning
BH0289,EM002,CL056,2024-06-10,9.7,5000,Client Meeting
BH0290,EM003,CL009,2024-12-27,2.2,12000,Reporting
BH0291,EM016,CL004,2024-04-19,8.5,8000,Client Meeting
BH0292,EM005,CL035,2024-07-30,6.7,8000,Review
BH0293,EM020,CL030,2024-06-29,4.8,5000,Fieldwork
BH0294,EM009,CL041,2024-02-09,2.9,5000,Client Meeting
BH0295,EM035,CL055,2024-04-05,6.0,20000,Planning
BH0296,EM004,CL058,2024-07-21,4.7,12000,Review
BH0297,EM023,CL040,2024-09-18,4.0,20000,Client Meeting
BH0298,EM015,CL023,2024-08-09,3.9,12000,Fieldwork
BH0299,EM034,CL060,2024-01-15,2.5,8000,Review
BH0300,EM009,CL005,2024-03-28,9.2,20000,Client Meeting
BH0301,EM003,CL059,2024-06-10,8.5,12000,Client Meeting
BH0302,EM034,CL049,2024-06-07,2.6,8000,Planning
BH0303,EM019,CL029,2024-01-19,4.0,5000,Reporting
BH0304,EM006,CL043,2024-04-22,8.6,8000,Planning
BH0305,EM035,CL036,2024-08-23,1.8,8000,Reporting
BH0306,EM011,CL059,2024-01-09,2.9,20000,Client Meeting
BH0307,EM034,CL028,2024-05-30,2.1,20000,Client Meeting
BH0308,EM035,CL025,2024-03-10,4.8,12000,Reporting
BH0309,EM031,CL010,2024-09-27,5.2,20000,Fieldwork
BH0310,EM016,CL010,2024-01-04,5.6,20000,Client Meeting
BH0311,EM015,CL054,2024-05-17,4.9,5000,Fieldwork
BH0312,EM027,CL012,2024-12-06,5.8,8000,Review
BH0313,EM023,CL053,2024-11-21,7.3,20000,Reporting
BH0314,EM022,CL058,2024-08-05,2.6,8000,Client Meeting
BH0315,EM032,CL042,2024-12-31,7.9,5000,Review
BH0316,EM022,CL014,2024-06-22,5.8,20000,Reporting
BH0317,EM004,CL009,2024-08-24,3.0,8000,Reporting
BH0318,EM023,CL053,2024-08-17,9.3,5000,Review
BH0319,EM011,CL051,2024-05-10,1.4,8000,Review
BH0320,EM022,CL022,2024-05-28,9.2,8000,Planning
BH0321,EM029,CL058,2024-08-22,6.8,12000,Fieldwork
BH0322,EM007,CL027,2024-09-01,9.7,5000,Review
BH0323,EM027,CL041,2024-05-26,4.6,20000,Reporting
BH0324,EM034,CL026,2024-06-24,4.4,5000,Review
BH0325,EM018,CL033,2024-12-09,9.3,12000,Client Meeting
BH0326,EM032,CL048,2024-04-26,2.9,8000,Planning
BH0327,EM005,CL045,2024-03-24,3.6,12000,Review
BH0328,EM035,CL030,2024-12-19,4.9,5000,Client Meeting
BH0329,EM011,CL016,2024-12-12,6.5,12000,Planning
BH0330,EM018,CL011,2024-08-03,3.5,20000,Client Meeting
BH0331,EM002,CL041,2024-10-11,6.4,8000,Fieldwork
BH0332,EM006,CL009,2024-01-25,3.0,8000,Planning
BH0333,EM033,CL002,2024-12-21,2.1,20000,Fieldwork
BH0334,EM025,CL010,2024-10-05,3.0,12000,Client Meeting
BH0335,EM004,CL021,2024-10-07,8.0,5000,Fieldwork
BH0336,EM035,CL044,2024-01-09,9.5,12000,Reporting
BH0337,EM014,CL030,2024-05-23,8.5,8000,Review
BH0338,EM026,CL030,2024-01-11,2.2,20000,Client Meeting
BH0339,EM011,CL033,2024-08-23,1.6,12000,Client Meeting
BH0340,EM024,CL039,2024-08-08,6.9,12000,Client Meeting
BH0341,EM019,CL023,2024-09-10,4.1,12000,Planning
BH0342,EM024,CL024,2024-01-14,9.0,12000,Reporting
BH0343,EM025,CL009,2024-10-15,7.4,5000,Client Meeting
BH0344,EM008,CL020,2024-09-20,4.3,12000,Fieldwork
BH0345,EM015,CL040,2024-06-25,9.5,12000,Reporting
BH0346,EM024,CL010,2024-02-01,9.5,8000,Fieldwork
BH0347,EM026,CL042,2024-06-09,1.9,5000,Planning
BH0348,EM012,CL006,2024-06-02,8.5,12000,Client Meeting
BH0349,EM019,CL046,2024-05-31,3.9,5000,Reporting
BH0350,EM003,CL051,2024-12-06,2.2,20000,Planning
BH0351,EM017,CL030,2024-04-13,1.2,8000,Review
BH0352,EM004,CL013,2024-07-04,7.1,8000,Reporting
BH0353,EM006,CL051,2024-03-27,7.6,12000,Review
BH0354,EM001,CL048,2024-12-25,2.6,8000,Client Meeting
BH0355,EM015,CL019,2024-11-25,8.5,5000,Planning
BH0356,EM017,CL006,2024-03-31,8.2,5000,Planning
BH0357,EM003,CL024,2024-12-03,2.5,20000,Planning
BH0358,EM021,CL038,2024-10-17,1.6,5000,Review
BH0359,EM031,CL039,2024-05-09,1.8,8000,Reporting
BH0360,EM021,CL020,2024-07-27,1.1,5000,Fieldwork
BH0361,EM014,CL052,2024-06-03,7.7,8000,Review
BH0362,EM033,CL046,2024-07-06,5.3,8000,Reporting
BH0363,EM028,CL045,2024-03-31,9.0,20000,Planning
BH0364,EM027,CL006,2024-04-05,5.4,12000,Reporting
BH0365,EM008,CL050,2024-02-29,2.4,8000,Planning
BH0366,EM006,CL057,2024-12-22,7.4,5000,Reporting
BH0367,EM003,CL006,2024-05-28,6.3,12000,Planning
BH0368,EM003,CL011,2024-11-12,5.7,5000,Planning
BH0369,EM035,CL042,2024-09-27,7.4,20000,Client Meeting
BH0370,EM020,CL052,2024-07-03,2.4,5000,Planning
BH0371,EM007,CL044,2024-10-21,8.8,5000,Planning
BH0372,EM010,CL005,2024-12-09,3.0,12000,Client Meeting
BH0373,EM014,CL007,2024-08-14,9.6,8000,Client Meeting
BH0374,EM026,CL032,2024-01-28,9.9,5000,Client Meeting
BH0375,EM006,CL001,2024-12-01,3.0,5000,Planning
BH0376,EM008,CL057,2024-09-16,8.1,20000,Review
BH0377,EM003,CL021,2024-01-16,2.0,8000,Reporting
BH0378,EM002,CL049,2024-05-07,3.5,12000,Planning
BH0379,EM024,CL028,2024-01-15,9.6,5000,Review
BH0380,EM034,CL031,2024-07-19,4.1,20000,Client Meeting
BH0381,EM023,CL049,2024-12-26,2.4,20000,Reporting
BH0382,EM015,CL005,2024-07-12,7.8,8000,Fieldwork
BH0383,EM026,CL002,2024-04-10,7.0,5000,Fieldwork
BH0384,EM004,CL021,2024-12-19,7.8,5000,Reporting
BH0385,EM025,CL056,2024-04-15,1.5,20000,Client Meeting
BH0386,EM002,CL001,2024-06-25,6.3,12000,Client Meeting
BH0387,EM026,CL026,2024-12-17,6.4,8000,Reporting
BH0388,EM014,CL045,2024-08-24,1.5,20000,Fieldwork
BH0389,EM021,CL034,2024-01-05,8.0,20000,Fieldwork
BH0390,EM018,CL042,2024-01-25,6.0,8000,Reporting
BH0391,EM012,CL014,2024-06-01,2.9,5000,Client Meeting
BH0392,EM022,CL057,2024-09-30,8.0,12000,Review
BH0393,EM035,CL045,2024-09-26,6.0,8000,Reporting
BH0394,EM030,CL022,2024-11-03,7.6,20000,Reporting
BH0395,EM010,CL034,2024-06-15,9.2,8000,Review
BH0396,EM022,CL048,2024-05-20,4.2,5000,Reporting
BH0397,EM008,CL058,2024-10-21,9.6,5000,Reporting
BH0398,EM020,CL034,2024-03-25,8.0,8000,Client Meeting
