record_id,lawyer_id,case_id,date,hours,hourly_rate
BH0001,LW004,CS0027,2024-12-14,2.1,10000
BH0002,LW017,CS0110,2024-05-27,2.6,15000
BH0003,LW003,CS0068,2024-07-01,6.4,25000
BH0004,LW004,CS0131,2024-03-04,1.9,25000
BH0005,LW020,CS0021,2024-08-31,1.0,15000
BH0006,LW009,CS0062,2024-08-23,2.8,15000
BH0007,LW012,CS0098,2024-12-15,4.5,10000
BH0008,LW023,CS0085,2024-04-17,3.7,25000
BH0009,LW003,CS0167,2024-12-09,1.8,10000
BH0010,LW003,CS0087,2024-05-12,1.4,10000
BH0011,LW004,CS0152,2024-01-14,5.9,10000
BH0012,LW013,CS0003,2024-09-07,1.4,50000
BH0013,LW021,CS0150,2024-04-14,0.9,10000
BH0014,LW012,CS0033,2024-03-31,1.1,25000
BH0015,LW009,CS0042,2024-11-27,7.8,50000
BH0016,LW021,CS0063,2024-07-06,7.4,25000
BH0017,LW022,CS0035,2024-06-10,7.1,10000
BH0018,LW004,CS0105,2024-02-25,8.7,25000
BH0019,LW022,CS0196,2024-11-14,5.4,25000
BH0020,LW009,CS0189,2024-03-13,4.0,10000
BH0021,LW018,CS0071,2024-06-17,3.2,50000
BH0022,LW025,CS0199,2024-06-11,5.1,15000
BH0023,LW013,CS0136,2024-03-06,6.6,25000
BH0024,LW002,CS0137,2024-02-24,2.8,25000
BH0025,LW002,CS0047,2024-04-08,1.6,25000
BH0026,LW018,CS0095,2024-10-30,2.5,25000
BH0027,LW017,CS0015,2024-12-21,2.3,25000
BH0028,LW021,CS0044,2024-09-17,4.9,25000
BH0029,LW001,CS0127,2024-06-10,0.9,50000
BH0030,LW023,CS0171,2024-09-17,1.2,50000
BH0031,LW007,CS0093,2024-05-12,7.2,25000
BH0032,LW005,CS0092,2024-04-02,2.9,50000
BH0033,LW016,CS0126,2024-09-04,2.7,25000
BH0034,LW019,CS0100,2024-05-15,7.3,15000
BH0035,LW002,CS0079,2024-08-06,2.9,10000
BH0036,LW002,CS0112,2024-01-05,3.8,15000
BH0037,LW013,CS0077,2024-10-06,4.2,50000
BH0038,LW012,CS0094,2024-04-16,4.7,15000
BH0039,LW018,CS0091,2024-11-29,7.9,50000
BH0040,LW001,CS0150,2024-02-21,1.7,10000
BH0041,LW009,CS0007,2024-08-27,1.8,25000
BH0042,LW009,CS0091,2024-04-11,5.6,10000
BH0043,LW003,CS0194,2024-08-10,1.0,15000
BH0044,LW005,CS0162,2024-05-09,4.5,50000
BH0045,LW019,CS0037,2024-07-22,8.6,25000
BH0046,LW022,CS0027,2024-12-27,4.6,15000
BH0047,LW004,CS0176,2024-07-20,7.1,15000
BH0048,LW005,CS0096,2024-01-31,6.0,15000
BH0049,LW024,CS0175,2024-12-20,7.1,25000
BH0050,LW008,CS0173,2024-11-20,5.6,25000
BH0051,LW009,CS0040,2024-08-23,5.2,25000
BH0052,LW005,CS0176,2024-05-04,4.1,50000
BH0053,LW019,CS0068,2024-10-18,4.0,25000
BH0054,LW011,CS0079,2024-11-05,6.4,25000
BH0055,LW023,CS0160,2024-06-30,7.7,10000
BH0056,LW006,CS0115,2024-04-08,6.7,50000
BH0057,LW023,CS0074,2024-12-14,6.7,15000
BH0058,LW015,CS0187,2024-02-24,5.0,15000
BH0059,LW005,CS0175,2024-05-23,8.2,15000
BH0060,LW007,CS0154,2024-04-16,3.9,15000
BH0061,LW016,CS0100,2024-02-22,4.4,25000
BH0062,LW023,CS0008,2024-12-07,2.9,10000
BH0063,LW009,CS0187,2024-07-18,3.4,25000
BH0064,LW004,CS0021,2024-03-24,5.2,15000
BH0065,LW017,CS0021,2024-03-03,8.7,25000
BH0066,LW001,CS0035,2024-12-28,7.9,15000
BH0067,LW018,CS0184,2024-11-04,1.9,50000
BH0068,LW025,CS0167,2024-05-29,6.3,25000
BH0069,LW019,CS0092,2024-03-27,7.2,15000
BH0070,LW015,CS0200,2024-08-03,4.7,25000
BH0071,LW006,CS0053,2024-11-15,2.3,25000
BH0072,LW007,CS0193,2024-04-27,7.5,50000
BH0073,LW007,CS0188,2024-03-09,6.6,15000
BH0074,LW020,CS0108,2024-10-23,2.1,25000
BH0075,LW004,CS0011,2024-01-07,1.7,10000
BH0076,LW016,CS0113,2024-03-25,1.1,15000
BH0077,LW021,CS0161,2024-05-08,8.6,50000
BH0078,LW019,CS0171,2024-07-14,8.8,25000
BH0079,LW007,CS0128,2024-02-04,3.6,25000
BH0080,LW016,CS0064,2024-02-27,8.7,25000
BH0081,LW006,CS0002,2024-10-13,5.3,15000
BH0082,LW003,CS0143,2024-08-20,2.4,25000
BH0083,LW002,CS0122,2024-11-14,2.3,15000
BH0084,LW015,CS0116,2024-04-26,1.4,15000
BH0085,LW020,CS0122,2024-04-08,8.1,25000
BH0086,LW003,CS0190,2024-06-08,4.9,10000
BH0087,LW025,CS0041,2024-12-16,6.4,25000
BH0088,LW020,CS0164,2024-12-22,0.7,15000
BH0089,LW014,CS0140,2024-01-10,0.5,10000
BH0090,LW016,CS0039,2024-03-29,0.7,50000
BH0091,LW003,CS0041,2024-03-03,4.9,25000
BH0092,LW012,CS0047,2024-05-05,5.6,25000
BH0093,LW019,CS0106,2024-01-20,1.6,15000
BH0094,LW003,CS0084,2024-11-13,8.2,50000
BH0095,LW012,CS0030,2024-08-23,3.6,10000
BH0096,LW007,CS0043,2024-04-10,0.6,10000
BH0097,LW014,CS0001,2024-11-05,2.9,10000
BH0098,LW015,CS0087,2024-01-07,1.9,25000
BH0099,LW004,CS0057,2024-01-13,0.9,50000
BH0100,LW016,CS0167,2024-06-27,4.9,50000
BH0101,LW011,CS0088,2024-12-15,5.1,10000
BH0102,LW019,CS0087,2024-10-21,6.9,25000
BH0103,LW011,CS0012,2024-05-31,5.8,50000
BH0104,LW006,CS0064,2024-07-19,4.0,25000
BH0105,LW022,CS0101,2024-03-06,4.3,50000
BH0106,LW011,CS0027,2024-10-03,8.2,25000
BH0107,LW025,CS0177,2024-03-09,0.8,15000
BH0108,LW021,CS0142,2024-05-18,7.0,25000
BH0109,LW002,CS0175,2024-12-18,2.7,50000
BH0110,LW005,CS0028,2024-09-06,8.0,25000
BH0111,LW022,CS0050,2024-05-31,5.6,15000
BH0112,LW019,CS0074,2024-02-24,4.1,50000
BH0113,LW015,CS0066,2024-01-18,4.3,50000
BH0114,LW019,CS0131,2024-12-22,8.1,25000
BH0115,LW018,CS0081,2024-08-16,2.8,10000
BH0116,LW025,CS0023,2024-01-28,3.9,50000
BH0117,LW015,CS0165,2024-03-18,8.8,25000
BH0118,LW003,CS0130,2024-08-17,5.8,50000
BH0119,LW018,CS0157,2024-06-11,2.3,50000
BH0120,LW002,CS0019,2024-03-22,2.9,15000
BH0121,LW004,CS0111,2024-05-16,3.5,15000
BH0122,LW009,CS0064,2024-08-12,5.1,25000
BH0123,LW015,CS0001,2024-05-29,0.8,15000
BH0124,LW013,CS0089,2024-02-04,7.3,50000
BH0125,LW012,CS0101,2024-10-23,2.0,50000
BH0126,LW023,CS0151,2024-03-12,6.9,15000
BH0127,LW022,CS0186,2024-03-22,4.5,15000
BH0128,LW011,CS0199,2024-09-11,1.5,25000
BH0129,LW013,CS0124,2024-04-04,8.9,15000
BH0130,LW008,CS0002,2024-01-14,5.2,25000
BH0131,LW015,CS0169,2024-09-16,7.8,25000
BH0132,LW019,CS0030,2024-07-07,2.5,25000
BH0133,LW006,CS0088,2024-07-17,3.7,10000
BH0134,LW019,CS0139,2024-01-01,7.9,25000
BH0135,LW016,CS0138,2024-04-18,4.0,10000
BH0136,LW023,CS0053,2024-01-16,2.2,25000
BH0137,LW003,CS0063,2024-11-22,3.9,15000
BH0138,LW005,CS0151,2024-09-20,3.2,25000
BH0139,LW020,CS0174,2024-11-04,9.0,50000
BH0140,LW024,CS0113,2024-01-15,6.8,10000
BH0141,LW014,CS0012,2024-01-13,4.7,50000
BH0142,LW004,CS0072,2024-05-02,2.6,50000
BH0143,LW002,CS0014,2024-05-22,6.7,10000
BH0144,LW024,CS0170,2024-09-06,8.9,25000
BH0145,LW007,CS0100,2024-10-13,4.2,50000
BH0146,LW008,CS0129,2024-12-25,4.4,15000
BH0147,LW003,CS0092,2024-09-01,6.5,25000
BH0148,LW001,CS0190,2024-06-15,2.7,25000
BH0149,LW017,CS0112,2024-08-07,1.5,15000
BH0150,LW010,CS0195,2024-10-03,6.7,25000
BH0151,LW003,CS0071,2024-03-28,4.7,25000
BH0152,LW008,CS0161,2024-02-02,2.6,50000
BH0153,LW006,CS0108,2024-04-16,6.5,15000
BH0154,LW003,CS0163,2024-03-23,1.7,15000
BH0155,LW019,CS0150,2024-09-25,8.1,15000
BH0156,LW004,CS0081,2024-10-15,7.2,10000
BH0157,LW015,CS0179,2024-03-03,2.3,15000
BH0158,LW022,CS0179,2024-01-04,3.0,25000
BH0159,LW017,CS0067,2024-06-28,4.1,50000
BH0160,LW003,CS0094,2024-12-07,2.8,50000
BH0161,LW021,CS0179,2024-07-13,3.8,25000
BH0162,LW011,CS0107,2024-10-07,5.5,15000
BH0163,LW019,CS0022,2024-02-20,3.9,25000
BH0164,LW012,CS0113,2024-11-30,3.9,50000
BH0165,LW025,CS0103,2024-07-09,7.4,50000
BH0166,LW013,CS0103,2024-05-08,4.6,50000
BH0167,LW002,CS0144,2024-06-29,1.6,25000
BH0168,LW021,CS0036,2024-10-27,4.2,25000
BH0169,LW011,CS0048,2024-02-06,4.7,10000
BH0170,LW010,CS0147,2024-11-15,5.1,50000
BH0171,LW017,CS0035,2024-10-30,5.2,50000
BH0172,LW005,CS0120,2024-07-03,3.0,25000
BH0173,LW005,CS0043,2024-01-03,4.2,25000
BH0174,LW023,CS0011,2024-07-31,8.1,15000
BH0175,LW020,CS0138,2024-08-27,7.2,15000
BH0176,LW021,CS0135,2024-08-09,7.2,25000
BH0177,LW002,CS0016,2024-07-13,7.3,15000
BH0178,LW010,CS0107,2024-08-09,2.2,10000
BH0179,LW008,CS0042,2024-02-14,2.7,10000
BH0180,LW007,CS0023,2024-10-05,6.4,15000
BH0181,LW008,CS0006,2024-02-10,1.4,10000
BH0182,LW017,CS0068,2024-12-08,0.7,25000
BH0183,LW009,CS0129,2024-09-29,3.2,50000
BH0184,LW011,CS0096,2024-03-09,6.4,25000
BH0185,LW005,CS0146,2024-07-20,1.4,10000
BH0186,LW009,CS0050,2024-07-29,5.7,25000
BH0187,LW012,CS0117,2024-12-28,8.6,15000
BH0188,LW011,CS0019,2024-08-19,8.6,15000
BH0189,LW021,CS0129,2024-08-21,6.6,10000
BH0190,LW022,CS0062,2024-06-17,3.5,50000
BH0191,LW014,CS0159,2024-08-09,8.8,15000
BH0192,LW022,CS0053,2024-10-04,6.6,25000
BH0193,LW023,CS0191,2024-10-02,4.2,25000
BH0194,LW003,CS0119,2024-11-30,5.0,15000
BH0195,LW011,CS0175,2024-07-17,8.2,10000
BH0196,LW020,CS0158,2024-10-25,8.9,50000
BH0197,LW005,CS0068,2024-08-05,8.4,25000
BH0198,LW021,CS0121,2024-08-03,6.5,15000
BH0199,LW019,CS0051,2024-07-20,7.3,25000
BH0200,LW005,CS0111,2024-09-25,7.8,10000
BH0201,LW016,CS0152,2024-08-22,2.1,50000
BH0202,LW019,CS0187,2024-11-06,8.0,10000
BH0203,LW003,CS0002,2024-03-08,6.1,50000
BH0204,LW003,CS0156,2024-01-30,6.3,25000
BH0205,LW024,CS0190,2024-12-12,7.8,10000
BH0206,LW007,CS0139,2024-12-04,4.4,10000
BH0207,LW005,CS0032,2024-07-06,5.9,10000
BH0208,LW021,CS0071,2024-06-29,6.7,50000
BH0209,LW006,CS0079,2024-05-18,4.0,15000
BH0210,LW005,CS0010,2024-02-18,3.8,50000
BH0211,LW014,CS0056,2024-11-19,7.2,15000
BH0212,LW022,CS0091,2024-01-19,4.9,25000
BH0213,LW007,CS0188,2024-03-08,3.8,25000
BH0214,LW008,CS0173,2024-10-02,1.3,25000
BH0215,LW001,CS0061,2024-01-28,6.0,25000
BH0216,LW011,CS0153,2024-09-26,7.6,10000
BH0217,LW022,CS0071,2024-03-22,1.0,25000
BH0218,LW017,CS0077,2024-04-07,6.9,25000
BH0219,LW002,CS0125,2024-05-23,3.6,15000
BH0220,LW024,CS0064,2024-04-04,4.9,50000
BH0221,LW001,CS0036,2024-05-15,2.8,25000
BH0222,LW007,CS0023,2024-01-13,8.2,10000
BH0223,LW015,CS0124,2024-02-19,6.2,15000
BH0224,LW008,CS0174,2024-06-17,6.5,15000
BH0225,LW005,CS0194,2024-09-07,4.5,15000
BH0226,LW016,CS0112,2024-06-30,3.4,50000
BH0227,LW013,CS0017,2024-08-12,1.6,25000
BH0228,LW016,CS0058,2024-06-21,3.2,10000
BH0229,LW010,CS0120,2024-02-19,2.0,50000
BH0230,LW014,CS0110,2024-02-24,3.4,15000
BH0231,LW019,CS0056,2024-10-22,6.8,15000
BH0232,LW020,CS0069,2024-04-01,4.4,10000
BH0233,LW005,CS0018,2024-06-26,1.0,10000
BH0234,LW007,CS0066,2024-04-23,5.9,10000
BH0235,LW014,CS0041,2024-08-29,5.8,25000
BH0236,LW017,CS0047,2024-05-27,7.4,50000
BH0237,LW007,CS0056,2024-12-26,8.0,10000
BH0238,LW005,CS0155,2024-11-05,7.8,15000
BH0239,LW015,CS0029,2024-12-18,5.6,15000
BH0240,LW015,CS0089,2024-11-02,2.6,25000
BH0241,LW011,CS0119,2024-12-07,8.3,25000
BH0242,LW006,CS0022,2024-02-15,4.1,15000
BH0243,LW006,CS0009,2024-12-27,3.8,25000
BH0244,LW020,CS0023,2024-01-24,0.5,25000
BH0245,LW009,CS0049,2024-07-20,2.6,15000
BH0246,LW013,CS0069,2024-05-28,2.6,15000
BH0247,LW024,CS0200,2024-10-15,7.4,50000
BH0248,LW019,CS0024,2024-05-09,1.8,10000
BH0249,LW021,CS0015,2024-08-25,5.8,15000
BH0250,LW015,CS0102,2024-09-13,2.5,15000
BH0251,LW015,CS0131,2024-01-25,7.7,50000
BH0252,LW018,CS0082,2024-12-08,4.6,10000
BH0253,LW020,CS0056,2024-04-06,5.1,25000
BH0254,LW007,CS0011,2024-01-08,0.9,10000
BH0255,LW002,CS0171,2024-08-04,2.3,15000
BH0256,LW011,CS0132,2024-08-05,6.0,50000
BH0257,LW015,CS0085,2024-05-25,3.9,50000
BH0258,LW004,CS0123,2024-03-25,5.2,25000
BH0259,LW015,CS0168,2024-01-15,2.6,25000
BH0260,LW014,CS0164,2024-04-20,2.4,25000
BH0261,LW013,CS0091,2024-11-28,7.2,50000
BH0262,LW017,CS0073,2024-02-03,3.3,50000
BH0263,LW024,CS0052,2024-06-19,1.5,25000
BH0264,LW016,CS0053,2024-06-09,8.8,10000
BH0265,LW017,CS0094,2024-02-25,7.2,50000
BH0266,LW013,CS0146,2024-12-11,3.8,25000
BH0267,LW019,CS0105,2024-06-16,7.2,10000
BH0268,LW002,CS0164,2024-04-27,6.5,50000
BH0269,LW024,CS0081,2024-03-19,2.0,50000
BH0270,LW024,CS0070,2024-09-21,2.7,15000
BH0271,LW003,CS0003,2024-10-15,1.9,15000
BH0272,LW011,CS0024,2024-05-15,3.4,50000
BH0273,LW019,CS0163,2024-07-07,7.6,15000
BH0274,LW015,CS0165,2024-03-07,2.5,50000
BH0275,LW014,CS0012,2024-05-19,1.1,15000
BH0276,LW014,CS0079,2024-04-19,1.0,50000
BH0277,LW002,CS0140,2024-02-09,2.4,50000
BH0278,LW005,CS0046,2024-10-29,5.3,10000
BH0279,LW001,CS0159,2024-04-12,3.6,15000
BH0280,LW010,CS0172,2024-04-07,5.7,15000
BH0281,LW020,CS0164,2024-07-08,0.8,25000
BH0282,LW019,CS0101,2024-03-09,5.2,10000
BH0283,LW015,CS0111,2024-12-12,6.0,25000
BH0284,LW007,CS0155,2024-01-28,8.3,50000
BH0285,LW018,CS0055,2024-12-03,9.0,25000
BH0286,LW025,CS0128,2024-07-25,4.4,10000
BH0287,LW002,CS0113,2024-09-15,1.8,25000
BH0288,LW013,CS0111,2024-07-19,3.7,25000
BH0289,LW023,CS0144,2024-04-23,4.2,10000
BH0290,LW022,CS0145,2024-11-20,3.1,50000
BH0291,LW017,CS0041,2024-12-15,6.8,10000
BH0292,LW017,CS0084,2024-06-20,5.4,25000
BH0293,LW021,CS0110,2024-03-25,5.4,15000
BH0294,LW013,CS0098,2024-10-16,6.9,15000
BH0295,LW007,CS0200,2024-03-14,3.3,15000
BH0296,LW016,CS0063,2024-11-19,8.5,50000
BH0297,LW018,CS0184,2024-11-06,6.5,50000
BH0298,LW002,CS0187,2024-12-15,2.8,15000
BH0299,LW007,CS0200,2024-12-10,6.3,25000
BH0300,LW021,CS0065,2024-08-08,4.0,10000
BH0301,LW002,CS0091,2024-02-21,8.5,25000
BH0302,LW020,CS0187,2024-07-16,1.2,10000
BH0303,LW013,CS0132,2024-07-21,1.9,50000
BH0304,LW025,CS0190,2024-09-23,6.4,50000
BH0305,LW020,CS0044,2024-05-19,8.8,25000
BH0306,LW001,CS0194,2024-05-05,6.3,25000
BH0307,LW003,CS0134,2024-08-06,5.8,25000
BH0308,LW014,CS0023,2024-04-27,6.2,25000
BH0309,LW002,CS0144,2024-10-03,2.4,15000
BH0310,LW004,CS0140,2024-05-06,5.1,10000
BH0311,LW013,CS0149,2024-04-07,2.8,50000
BH0312,LW019,CS0018,2024-03-10,6.0,15000
BH0313,LW016,CS0127,2024-11-04,8.7,15000
BH0314,LW021,CS0157,2024-10-09,7.4,10000
BH0315,LW025,CS0173,2024-03-21,1.9,10000
BH0316,LW003,CS0099,2024-04-20,1.3,25000
BH0317,LW006,CS0008,2024-01-04,5.8,15000
BH0318,LW019,CS0026,2024-07-05,1.8,10000
BH0319,LW007,CS0063,2024-07-21,5.9,15000
BH0320,LW022,CS0018,2024-05-29,7.0,15000
BH0321,LW003,CS0043,2024-09-05,0.9,15000
BH0322,LW004,CS0141,2024-10-31,8.3,50000
BH0323,LW006,CS0009,2024-02-27,2.1,25000
